"","Primary_Key","Organisation_Name","Sub-building_Name","Building_Name","Number","Primary_Thorfare","Alt_Thorfare","Secondary_Thorfare","Locality","Townland","Town","County","PostCode","X-Cordinates","Y-Cordinates"
"14205",14205,NA,NA,NA,"127B","BARANAILT ROAD",NA,NA,"LIMAVADY","DRUMRAIGHLAND","LIMAVADY","LONDONDERRY","BT499LT",264306,419667
"28841",28841,NA,NA,NA,"3","GORTGARN ROAD",NA,NA,"LIMAVADY","GLEBE","LIMAVADY","LONDONDERRY","BT490QW",270978,423762
"73548",73548,NA,NA,NA,"129","BARANAILT ROAD",NA,NA,"LIMAVADY","DRUMRAIGHLAND","LIMAVADY","LONDONDERRY","BT499LT",264267,419619
"308138",308138,NA,NA,NA,"19","BENBRADDAGH RISE",NA,NA,"LIMAVADY","GORTNAHEY MORE","GORTNAHEY","LONDONDERRY","BT474GX",266139,412418
"338103",338103,NA,NA,NA,"7","GORTGARN ROAD",NA,NA,"LIMAVADY","GLEBE","LIMAVADY","LONDONDERRY","BT490QW",270927,423841
"367695",367695,NA,NA,NA,"178","DUNCRUN ROAD",NA,NA,"LIMAVADY","CRAIG","LIMAVADY","LONDONDERRY","BT490LJ",270678,434259
"382003",382003,NA,NA,NA,"18","BEECH ROAD",NA,NA,"LIMAVADY","GORTNAHEY BEG","DUNGIVEN","LONDONDERRY","BT474QB",266076,412113
"588866",588866,NA,NA,NA,"105","TERRYDOO ROAD",NA,NA,"LIMAVADY","AGHANSILLAGH","LIMAVADY","LONDONDERRY","BT490PF",272741,419907
"603759",603759,NA,NA,NA,"5","GORTGARN ROAD",NA,NA,"LIMAVADY","GLEBE","LIMAVADY","LONDONDERRY","BT490QW",270956,423800
"883720",883720,NA,NA,NA,"19","BENBRADDAGH RISE",NA,NA,"LIMAVADY","GORTNAHEY MORE","GORTNAHEY","LONDONDERRY","BT474GX",266139,412418
